"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115119649",79.8776314520176,0.0417968153847586,0.0937792999899695,0.591040475796623,0.796594163941139,"U4/U6 small nuclear ribonucleoprotein Prp3-like","gonad"
"LOC115119825",70.1364397640573,0.0417942419754009,0.138177628513854,0.641727916574578,0.829075215576988,"uncharacterized LOC115119825, transcript variant X3","gonad"
"LOC115137353",14.5723300233911,0.0417885143772885,0.147465174204698,0.642103562909192,0.82923414020499,"GTP-binding nuclear protein Ran-like","gonad"
"LOCNA.3686",156.690171135849,0.0417793312758642,0.10411936634333,0.612188155768029,0.810938186016876,NA,"gonad"
"LOCNA.2937",16.0075368847382,0.0417546223493518,0.144740771287412,0.642546430210219,0.829306135931918,NA,"gonad"
"LOCNA.2381",12.5157933508061,0.041749912822996,0.139441400258591,0.642281705511296,0.829290945043283,NA,"gonad"
"LOC115101318",239.748761362368,0.041732715493052,0.143551122181141,0.642726544968576,0.829416419885503,"peptidyl-prolyl cis-trans isomerase FKBP2-like","gonad"
"LOC115102950",182.058026477324,0.0417320219520556,0.104613585739633,0.61342353178167,0.811526152274535,"ADP-ribosylation factor 1-like, transcript variant X1","gonad"
"LOC115101915",24.0787891601493,0.0417171832757922,0.162443591846899,0.638075772479027,0.826950521541539,"uncharacterized LOC115101915","gonad"
"LOC115124426",47.0461917357281,0.0416918906481527,0.113343447953938,0.626231200420089,0.819934592209832,"ubiquitin-conjugating enzyme E2 S","gonad"
"LOC115141110",16.0060704990754,0.0416616005632562,0.139964462595525,0.643046129923285,0.829557705894444,"ral guanine nucleotide dissociation stimulator-like 2, transcript variant X1","gonad"
"LOC115130789",127.943563106076,0.0416353218833479,0.127295467698202,0.638912658130371,0.827370481582449,"mastermind-like protein 1, transcript variant X2","gonad"
"LOC115142700",247.374142698228,0.0416284549297325,0.158928303618889,0.640363183650285,0.828399049150655,"28S ribosomal protein S28, mitochondrial-like","gonad"
"LOC115119088",43.2521524371892,0.041585177662693,0.128050432320463,0.639737890638316,0.82809932726528,"gap junction gamma-1 protein-like, transcript variant X1","gonad"
"LOCNA.3863",12.8187674967129,0.041583247305723,0.142924415178744,0.643887857423114,0.830349150739404,NA,"gonad"
"LOC115141171",395.453990344963,0.0415412355096807,0.0931818642829032,0.591879499980087,0.797270097564431,"carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2-like","gonad"
"LOC115129492",17.1145365336422,0.0415152671414182,0.16729438641203,0.636972418554828,0.826230086673028,"nitric oxide-associated protein 1-like","gonad"
"LOC115101853",20.529390158796,0.0414817888987697,0.146840161355321,0.644568567719726,0.830830893789858,"transmembrane prolyl 4-hydroxylase-like","gonad"
"LOCNA.476",47.7361169756135,0.0414455584200358,0.125589659143753,0.639393063458205,0.827797700484662,NA,"gonad"
"LOC115138084",390.789438772953,0.0414072822443707,0.116361289158302,0.631956821283245,0.823147995528531,"protein transport protein Sec24D-like, transcript variant X2","gonad"
"LOC115142751",10.7458632807499,0.0413426617039226,0.162100833630973,0.641181024669814,0.828947337301852,"Rieske domain-containing protein-like, transcript variant X1","gonad"
"LOC115109546",39.2639377277639,0.0413180913982417,0.146454913150947,0.645885885273691,0.831905940933089,"class E basic helix-loop-helix protein 41-like","gonad"
"LOC115138215",41.9002581752727,0.0413173535125547,0.14079944636555,0.645849295289026,0.831905940933089,"structure-specific endonuclease subunit slx1-like, transcript variant X1","gonad"
"LOC115111467",46.7438003744672,0.0413070382932594,0.127226368115668,0.641501312682904,0.829075215576988,"probable palmitoyltransferase ZDHHC12, transcript variant X1","gonad"
"LOC115109036",18.8121944139679,0.0412831274850083,0.160469519082509,0.642410329120405,0.829290945043283,"actin-like protein 6A, transcript variant X2","gonad"
"LOC115120053",159.098513433084,0.0412732095938406,0.0739569777185764,0.53189467457273,0.757420896671027,"nudC domain-containing protein 3-like","gonad"
"LOC115106120",2442.4346456,0.0412675701533048,0.119200415316809,0.635877286760294,0.825724990985208,"podocalyxin-like","gonad"
"LOC115109447",2170.31662521059,0.0412054507814431,0.128630030324243,0.643083194732587,0.829557705894444,"ADP-ribosylation factor 4-like","gonad"
"LOC115104684",40.4833152131226,0.0412042203487118,0.138039784136864,0.646359957533925,0.832162880842093,"zinc finger protein 473 homolog","gonad"
"LOC115143430",37.6532029436342,0.0411921243167102,0.12149679988076,0.638467747801879,0.826950521541539,"ski oncogene-like","gonad"
"LOC115143233",14.822907175293,0.0411796184855676,0.13959547082826,0.646799655274681,0.83221242065322,"Krueppel-like factor 15","gonad"
"LOC115118612",115.380457871442,0.04116918165726,0.152110681919023,0.64616758155848,0.832025525375503,"acrosin-like","gonad"
"LOC115127807",17.8928618305343,0.0411513911221758,0.12602044676586,0.642029035363641,0.829196079103428,"M-phase phosphoprotein 9-like, transcript variant X2","gonad"
"LOC115132403",23.9822954739737,0.0411367106089222,0.142417872439498,0.64738452881826,0.8324771513191,"WW domain-binding protein 4-like","gonad"
"LOC115131309",140.590930181807,0.0410944998096795,0.085228003395246,0.574301124719348,0.785878402776963,"protein argonaute-2, transcript variant X2","gonad"
"LOC115139365",59.9117042589133,0.0410681996287655,0.121440617924701,0.639427534266317,0.827797700484662,"putative peptidyl-tRNA hydrolase PTRHD1","gonad"
"LOC115138265",125.892386173586,0.041001218041907,0.128255540234137,0.64452189607151,0.830827292675746,"bifunctional glutamate/proline--tRNA ligase-like","gonad"
"LOC115138157",133.812880466872,0.0410005355109046,0.106630752118972,0.622855294571849,0.817102790258518,"equilibrative nucleoside transporter 2-like, transcript variant X1","gonad"
"LOC115144123",403.662717407037,0.0409968426573694,0.223637103293538,0.55048171874102,0.769778878771763,"uncharacterized LOC115144123, transcript variant X1","gonad"
"LOCNA.260",32.201267139142,0.0409622816689486,0.132631113845301,0.646796011858376,0.83221242065322,NA,"gonad"
"LOCNA.2216",123.954371112696,0.0409575143877549,0.168124865274777,0.64084952712582,0.828821211995959,NA,"gonad"
"LOC115115580",107.289415237987,0.0409517352069324,0.114462522981801,0.633643632249848,0.824267805485771,"cryptochrome-2-like, transcript variant X2","gonad"
"LOC115106496",88.8393578212556,0.0409415088555984,0.107342237056291,0.624431150642332,0.818582375893974,"gamma-tubulin complex component 2-like","gonad"
"LOC115105948",21751.7779945526,0.040881359014651,0.132058565572585,0.647224742080382,0.83235006815228,"cathepsin L1-like","gonad"
"LOC115112148",19.7972276915746,0.0408730639470681,0.198690536291558,0.609793031896284,0.809196934540342,"GTP-binding protein RAD-like","gonad"
"LOC115135688",115.703774130293,0.0408716512014441,0.120449460868765,0.640202507722284,0.828330050280982,"nucleophosmin-like","gonad"
"LOC115102423",47.248521868478,0.0408454179732252,0.160511875584709,0.645833044291865,0.831905940933089,"diacylglycerol kinase alpha-like, transcript variant X1","gonad"
"LOC115139624",46.2151770652774,0.040840932921276,0.118274524255196,0.638501010031017,0.826950521541539,"bifunctional protein GlmU-like","gonad"
"LOC115105354",222.031975206213,0.04082910191555,0.073128762717128,0.53279311256451,0.758188122515613,"calpain small subunit 1-like","gonad"
"LOCNA.1876",50.9675292937553,0.0407841947061735,0.100733625326391,0.614677041076447,0.812150029781447,NA,"gonad"
"LOC115104406",69.8878502710727,0.0407493579140337,0.120064579489121,0.640869146435558,0.828821211995959,"neuronal-specific septin-3-like","gonad"
"LOC115134526",197.478193734188,0.0407002814576821,0.113006542461778,0.634039395159365,0.824525055959036,"uncharacterized protein C11orf96 homolog","gonad"
"LOCNA.1183",53.3865135656187,0.040620380262832,0.133129472924565,0.649699371786557,0.834062160810337,NA,"gonad"
"LOC115102558",256.27311097352,0.0405965541087679,0.131653750311221,0.649339381284115,0.833801789272665,"low-density lipoprotein receptor-related protein 1-like","gonad"
"LOC115134701",58.3264934926805,0.0405440849642974,0.102486360137907,0.619935623534534,0.815037469975642,"solute carrier family 35 member F5-like, transcript variant X3","gonad"
"LOC115111728",27.6132557959555,0.0404267744786854,0.11412496124457,0.637608439532861,0.82656037221661,"clathrin heavy chain 1-like, transcript variant X1","gonad"
"LOC115105302",69.3534123351219,0.0404044674329029,0.129812178935366,0.650082008844112,0.834146764373296,"protein Aster-B-like, transcript variant X7","gonad"
"LOCNA.3603",37.8375750487602,0.0403613598497485,0.124987765556384,0.64774291671168,0.832798358009862,NA,"gonad"
"LOC115141291",134.256201541426,0.0403542460680336,0.129731448089509,0.65044735872547,0.834375769762671,"pre-rRNA-processing protein TSR1 homolog","gonad"
"LOC115134041",315.681225749901,0.0403519159219343,0.0791628724146666,0.561277507440235,0.776642526857272,"CCR4-NOT transcription complex subunit 1-like, transcript variant X16","gonad"
"LOC115108027",19.6798441022743,0.0403497771765072,0.144762635975506,0.653611592492932,0.836225371882005,"A-kinase anchor protein 12-like","gonad"
"LOC115121896",247.127980431836,0.0403138280088311,0.101687629190233,0.620503888277203,0.815409891354628,"vacuolar protein sorting-associated protein 29, transcript variant X2","gonad"
"LOC115141399",11.8930413466149,0.0403089260784982,0.162841961362922,0.648960762558508,0.833485182055575,"failed axon connections homolog","gonad"
"LOC115130359",103.146264556737,0.0402960169687081,0.103557809992453,0.623917003725344,0.818021635891108,"serine/arginine repetitive matrix protein 2-like","gonad"
"LOC115119089",702.958878444542,0.0402666410505965,0.186274063808777,0.630904911418695,0.822890593823857,"inhibin alpha chain-like","gonad"
"LOCNA.850",81.1551253505677,0.0402647065824262,0.0896127420080703,0.594398732286622,0.798505223346698,NA,"gonad"
"LOC115119876",21.5181362512085,0.0402557066186095,0.143167469579635,0.654368467308197,0.836578783559225,"cathepsin Z-like, transcript variant X2","gonad"
"LOC115139161",40.4858289701901,0.0402532512469931,0.15066059408511,0.653694816932124,0.836275343463939,"ribosomal oxygenase 1-like, transcript variant X2","gonad"
"LOCNA.3023",23.7878502596332,0.0402331406576344,0.134961415183571,0.653360815633861,0.836106959166715,NA,"gonad"
"LOCNA.4249",85.2290560487009,0.0402322819532068,0.130814815027151,0.65190946081873,0.83528932471259,NA,"gonad"
